Phone,Passengers,Phone,Messages,Nomadic devices
Calling,Passengers,Phone,Navigation system,Traffic
Pets,Passengers,Food and drinks,Traffic,Navigation system
Calling,Interruptions navigation system,Phone,Calling,Surroundings
Surroundings,Advertisement,Passengers,Traffic signs,Unclear instructions
Smartwatch,Passengers,Surroundings,Messages,Thoughts
Messages,Messages,Fatigue,Other drivers,Navigation system
Messages,Advertisement,Notifications,Surroundings,Passengers
Messages,Other drivers,Passengers,Operating smartphone,Passengers
Pets,Other drivers,Calling,Passengers,Other drivers
Navigation system,Calling,Speed camera notifications,Talking,Advertisement
Messages,Passengers,Taking wrong turn,Mental state,Operating the car
Unwelcome requests navigation,Operating smartphone,Passengers,Traffic,Passengers
Route suggestions/changes,Messages,Operating radio,Mental state,Operating radio
Other drivers,Operating smartphone,Passengers,Navigation system,Fatigue
Unclear instructions navigation,Operating radio,Operating radio,Fatigue,Passengers
Calling,Food and drinks,Music,Thoughts,Food and drinks
Messages,Notifications,Surroundings,Noise,Phone
Calling,Thoughts,Messages,Messages,Advertisement
Surroundings,Smartwatch,Other drivers,Mental state,Sunlight
Calling,Operating radio,Other drivers,Pets,Speed camera notifications
Messages,Music,Surroundings,Operating the car,Passengers
Other drivers,Operating smartphone,Navigation system,Other drivers,Music
Passengers,Operating radio,Passengers,Traffic,Passengers
Messages,Messages,Lights,Messages,
Notifications,Other drivers,Surroundings,Traffic signs,
Surroundings,Passengers,Passengers,Thoughts,
Calling,Operating radio,Fatigue,Other drivers,
Notifications,Traffic signs,Music,Surroundings,
Messages,Noise,Too many activities,Operating radio,
Phone,Traffic signs,Surroundings,Operating smartphone,
Phone,Navigation system,Sunlight,Thoughts,
Other drivers,Passengers,Passengers,Navigation system,
Other drivers,Music,Passengers,Passengers,
Phone,Messages,Operating smartphone,,
Music,Mental state,Calling,,
Traffic,Traffic,Operating radio,,
Traffic,Advertisement,Calling,,
Phone,Operating car features,Advertisement,,
Messages,Passengers,Navigation system,,
Messages,Unwelcome requests navigation,Navigation system,,
Low arousal,Surroundings,Surroundings,,
Messages,Messages,Navigation system,,
Messages,Speed camera notifications,Messages,,
Interruptions navigation system,Passengers,Traffic,,
Thoughts,Messages,Surroundings,,
Nomadic devices,Traffic,Other drivers,,
Messages,Messages,,,
Messages,Other drivers,,,
Calling,Sirens,,,
Music,Messages,,,
Traffic,Music,,,
Messages,Operating smartphone,,,
Notifications,Navigation system,,,
Sunlight,Messages,,,
Route suggestions/changes,Messages,,,
Navigation system,Other drivers,,,
Operating radio,Unclear instructions navigation,,,
Messages,Calling,,,
Messages,Traffic,,,
Calling,Music,,,
Phone,,,,
Messages,,,,
Phone,,,,
Passengers,,,,
Messages,,,,
Phone,,,,
