Distraction,Speed control,Decision making,Decision making,Decision making
Distraction,Decision making,Speed control,Near collision,Speed control
Lane position,Distraction,Decision making,Decision making,
Response time,Lane position,Speed control,,
Distraction,Response time,Response time,,
Distraction,Decision making,Distraction,,
Distraction,Speed control,,,
Decision making,Speed control,,,
Lane position,Lane position,,,
Distraction,Decision making,,,
Speed control,Distraction,,,
Decision making,,,,
