Decision making,Decision making,Decision making,Decision making,Decision making
Decision making,Decision making,Decision making,Decision making,Speed control
Decision making,Decision making,Distance,Decision making,Distraction
Decision making,Decision making,Distraction,Distraction,
Decision making,Distance,Distraction,Near collision,
Decision making,Distraction,Distraction,,
Decision making,Distraction,Distraction,,
Distance,Distraction,Distraction,,
Distance,Distraction,Lane position,,
Distraction,Distraction,Response time,,
Distraction,Distraction,Response time,,
Distraction,Distraction,Speed control,,
Distraction,Distraction,Speed control,,
Distraction,Distraction,Speed control,,
Distraction,Distraction,,,
Distraction,Distraction,,,
Distraction,Distraction,,,
Distraction,Distraction,,,
Distraction,Lane position,,,
Distraction,Lane position,,,
Distraction,Lane position,,,
Distraction,Lane position,,,
Distraction,Lane position,,,
Distraction,Lane position,,,
Distraction,Response time,,,
Distraction,Response time,,,
Distraction,Response time,,,
Distraction,Speed control,,,
Distraction,Speed control,,,
Distraction,Speed control,,,
Distraction,Speed control,,,
Distraction,Speed control,,,
Lane position,Speed control,,,
Lane position,,,,
Lane position,,,,
Lane position,,,,
Lane position,,,,
Response time,,,,
Response time,,,,
Response time,,,,
Response time,,,,
Response time,,,,
Speed control,,,,
Speed control,,,,
Speed control,,,,
