variable,W,p
s_behavior_more_speed,0.81538838,0.00032544
s_behavior_less_speed,0.85950333,0.00218684
s_behavior_speed_control,0.75700259,0.00003554
s_behavior_lane_position,0.82821459,0.00055332
s_behavior_reaction_time,0.84761339,0.00127918
s_behavior_wrong_turns,0.89278764,0.01084371
s_behavior_operating_errors,0.80705309,0.00023265
i_behavior_more_speed,0.86136389,0.03179810
i_behavior_less_speed,0.75838500,0.00159604
i_behavior_speed_control,0.86223960,0.03269920
i_behavior_lane_position,0.77272177,0.00234066
i_behavior_reaction_time,0.77095473,0.00223155
i_behavior_wrong_turns,0.86223960,0.03269920
i_behavior_operating_errors,0.79649842,0.00451871
z_behavior_more_speed,0.64917165,0.00010517
z_behavior_less_speed,0.83241290,0.02511312
z_behavior_speed_control,0.86341166,0.06374883
z_behavior_lane_position,0.87692028,0.09506799
z_behavior_reaction_time,0.85431629,0.04857905
z_behavior_wrong_turns,0.82763141,0.02173095
z_behavior_operating_errors,0.68863136,0.00033429
